Día,Atacante,Concello conquistado,Pertenecía a
1886,Viana,Terra De Celanova,Viana
1887,Fisterra,Ourense,Fisterra
1888,A Mariña Oriental,Vigo,A Mariña Oriental
1889,Fisterra,Terra De Caldelas,Fisterra
1890,A Mariña Oriental,O Condado,A Mariña Oriental
1891,Ortegal,Viana,Ortegal
1892,Ortegal,O Condado,Ortegal
1893,Viana,O Ribeiro,Viana
1894,O Salnés,Xallas,O Salnés
1895,Fisterra,Verín,Fisterra
1896,O Salnés,Ourense,O Salnés
1897,A Mariña Oriental,Xallas,A Mariña Oriental
1898,Viana,Baixa Limia,Viana
1899,O Salnés,A Ulloa,O Salnés
1900,Viana,Vigo,Viana
1901,O Salnés,Lugo,O Salnés
1902,O Salnés,Noia,O Salnés
1903,Ortegal,Sarria,Ortegal
1904,O Salnés,Terra Chá,O Salnés
1905,Fisterra,A Limia,Fisterra
1906,Ortegal,Verín,Ortegal
1907,Ortegal,Ourense,Ortegal
1908,A Mariña Oriental,Terra Chá,A Mariña Oriental
1909,O Salnés,Pontevedra,O Salnés
1910,O Salnés,Terra De Lemos,O Salnés
1911,O Salnés,Terra De Soneira,O Salnés
1912,Fisterra,Terra De Celanova,Fisterra
1913,Viana,A Paradanta,Viana
1914,Fisterra,Baixa Limia,Fisterra
1915,O Salnés,Quiroga,O Salnés
1916,Fisterra,Ourense,Fisterra
1917,O Salnés,Os Ancares,O Salnés
1918,Ortegal,Quiroga,Ortegal
1919,Viana,Terra De Celanova,Viana
1920,Ortegal,Vigo,Ortegal
1921,Fisterra,Quiroga,Fisterra
1922,Viana,O Condado,Viana
1923,Fisterra,Terra De Celanova,Fisterra
1924,Ortegal,A Paradanta,Ortegal
1925,Ortegal,O Ribeiro,Ortegal
1926,Viana,A Paradanta,Viana
1927,Viana,O Ribeiro,Viana
1928,Fisterra,O Carballiño,Fisterra
1929,O Salnés,Terra De Caldelas,O Salnés
1930,O Salnés,Xallas,O Salnés
1931,A Mariña Oriental,Xallas,A Mariña Oriental
1932,Fisterra,Terra De Caldelas,Fisterra
1933,O Salnés,Xallas,O Salnés
1934,Ortegal,Pontevedra,Ortegal
1935,Fisterra,Terra De Trives,Fisterra
1936,Fisterra,Tabeirós-Terra De Montes,Fisterra
1937,Fisterra,Viana,Fisterra
1938,O Salnés,Terra De Melide,O Salnés
1939,O Salnés,Pontevedra,O Salnés
1940,O Salnés,Sarria,O Salnés
1941,Viana,Vigo,Viana
1942,A Mariña Oriental,Xallas,A Mariña Oriental
1943,O Salnés,Santiago,O Salnés
1944,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1945,Fisterra,O Ribeiro,Fisterra
1946,Ortegal,Viana,Ortegal
1947,Viana,O Baixo Miño,Viana
1948,A Mariña Oriental,O Carballiño,A Mariña Oriental
1949,Ortegal,A Limia,Ortegal
1950,Ortegal,Terra De Trives,Ortegal
1951,Fisterra,O Carballiño,Fisterra
1952,O Salnés,A Barcala,O Salnés
1953,Viana,O Ribeiro,Viana
1954,A Mariña Oriental,Santiago,A Mariña Oriental
1955,Ortegal,Terra De Caldelas,Ortegal
1956,Ortegal,Ourense,Ortegal
1957,Viana,Pontevedra,Viana
1958,Viana,Tabeirós-Terra De Montes,Viana
1959,Viana,O Carballiño,Viana
1960,Ortegal,Allariz-Maceda,Ortegal
1961,Ortegal,Terra De Celanova,Ortegal
1962,Ortegal,Baixa Limia,Ortegal
1963,Fisterra,Terra De Trives,Fisterra
1964,Ortegal,Terra De Trives,Ortegal
1965,Viana,Chantada,Viana
1966,Fisterra,Terra De Trives,Fisterra
1967,Fisterra,Verín,Fisterra
1968,Viana,Ourense,Viana
1969,A Mariña Oriental,A Barcala,A Mariña Oriental
1970,Fisterra,Valdeorras,Fisterra
1971,A Mariña Oriental,Os Ancares,A Mariña Oriental
1972,O Salnés,A Fonsagrada,O Salnés
1973,Ortegal,O Ribeiro,Ortegal
1974,Fisterra,A Limia,Fisterra
1975,O Salnés,Terra De Melide,O Salnés
1976,A Mariña Oriental,A Fonsagrada,A Mariña Oriental
1977,Viana,O Ribeiro,Viana
1978,O Salnés,Meira,O Salnés
1979,Viana,Terra De Lemos,Viana
1980,Ortegal,Verín,Ortegal
1981,Fisterra,Terra De Lemos,Fisterra
1982,A Mariña Oriental,Terra De Soneira,A Mariña Oriental
1983,Fisterra,Baixa Limia,Fisterra
1984,Fisterra,Ourense,Fisterra
1985,Viana,Deza,Viana
1986,Viana,Ourense,Viana
1987,A Mariña Oriental,Meira,A Mariña Oriental
1988,Fisterra,Terra De Caldelas,Fisterra
1989,Viana,O Salnés,Viana
1990,Viana,Terra De Lemos,Viana
1991,Ortegal,Terra De Trives,Ortegal
1992,Ortegal,Quiroga,Ortegal
1993,Viana,Sarria,Viana
1994,Viana,Santiago,Viana
1995,Ortegal,Terra De Caldelas,Ortegal
1996,Fisterra,Terra De Caldelas,Fisterra
1997,O Salnés,Pontevedra,O Salnés
1998,O Salnés,Santiago,O Salnés
1999,O Salnés,Terra Chá,O Salnés
2000,Fisterra,Terra De Lemos,Fisterra
