Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
1331,Meira,A Mariña Central,A Limia,
1332,A Limia,A Mariña Central,Meira,
1333,A Limia,A Mariña Occidental,Meira,
1334,A Limia,Ortegal,Meira,
1335,Meira,Ortegal,A Limia,
1336,Meira,A Mariña Occidental,A Limia,
1337,A Limia,A Mariña Occidental,Meira,
1338,Meira,A Mariña Occidental,A Limia,
1339,Meira,A Mariña Central,A Limia,
1340,Meira,Meira,A Limia,
1341,Meira,A Mariña Oriental,A Limia,
1342,A Limia,A Mariña Oriental,Meira,
1343,Meira,A Mariña Oriental,A Limia,
1344,A Limia,A Mariña Oriental,Meira,
1345,A Limia,A Mariña Central,Meira,
1346,A Limia,Meira,Meira,
1347,Meira,A Mariña Central,A Limia,
1348,Meira,Meira,A Limia,
1349,A Limia,A Mariña Central,Meira,
1350,A Limia,Meira,Meira,
1351,Meira,A Mariña Central,A Limia,
1352,A Limia,A Mariña Central,Meira,
1353,Meira,A Mariña Central,A Limia,
1354,Meira,Meira,A Limia,
1355,A Limia,A Mariña Central,Meira,
1356,Meira,A Mariña Central,A Limia,
1357,Meira,A Mariña Oriental,A Limia,
1358,A Limia,A Mariña Oriental,Meira,
1359,A Limia,A Mariña Central,Meira,
1360,A Limia,Meira,Meira,
1361,A Limia,A Mariña Occidental,Meira,
1362,Meira,A Mariña Occidental,A Limia,
1363,Meira,A Mariña Central,A Limia,
1364,Meira,Meira,A Limia,
1365,Meira,A Mariña Oriental,A Limia,
1366,Meira,A Fonsagrada,A Limia,
1367,A Limia,A Fonsagrada,Meira,
1368,Meira,A Fonsagrada,A Limia,
1369,Meira,Os Ancares,A Limia,
1370,Meira,Quiroga,A Limia,
1371,A Limia,Quiroga,Meira,
1372,Meira,Quiroga,A Limia,
1373,Meira,Valdeorras,A Limia,
1374,Meira,Viana,A Limia,
1375,A Limia,Viana,Meira,
1376,Meira,Viana,A Limia,
1377,A Limia,Viana,Meira,
1378,A Limia,Valdeorras,Meira,
1379,Meira,Valdeorras,A Limia,
1380,Meira,Viana,A Limia,
1381,A Limia,Viana,Meira,
1382,A Limia,Valdeorras,Meira,
1383,A Limia,Quiroga,Meira,
1384,A Limia,Os Ancares,Meira,
1385,Meira,Os Ancares,A Limia,
1386,Meira,Quiroga,A Limia,
1387,Meira,Valdeorras,A Limia,
1388,Meira,Viana,A Limia,
1389,A Limia,Viana,Meira,
1390,A Limia,Valdeorras,Meira,
1391,Meira,Valdeorras,A Limia,
1392,Meira,Viana,A Limia,
1393,A Limia,Viana,Meira,
1394,A Limia,Valdeorras,Meira,
1395,A Limia,Quiroga,Meira,
1396,Meira,Quiroga,A Limia,
1397,Meira,Valdeorras,A Limia,
1398,Meira,Viana,A Limia,
1399,Meira,Terra De Trives,A Limia,
1400,Meira,Verín,A Limia,
1401,Meira,Terra De Caldelas,A Limia,
1402,Meira,Allariz-Maceda,A Limia,
1403,A Limia,Allariz-Maceda,Meira,
1404,Meira,Allariz-Maceda,A Limia,
1405,Meira,A Limia,A Limia,
1406,A Limia,A Limia,Meira,
1407,A Limia,Allariz-Maceda,Meira,
1408,A Limia,Verín,Meira,
1409,Meira,Verín,A Limia,
1410,Meira,Allariz-Maceda,A Limia,
1411,A Limia,Allariz-Maceda,Meira,
1412,Meira,Allariz-Maceda,A Limia,
1413,Meira,A Limia,A Limia,
1414,Meira,Baixa Limia,A Limia,
1415,A Limia,Baixa Limia,Meira,
1416,Meira,Baixa Limia,A Limia,
1417,A Limia,Baixa Limia,Meira,
1418,A Limia,A Limia,Meira,
1419,A Limia,Allariz-Maceda,Meira,
1420,Meira,Allariz-Maceda,A Limia,
1421,Meira,A Limia,A Limia,
1422,A Limia,A Limia,Meira,
1423,Meira,A Limia,A Limia,
1424,Meira,Baixa Limia,A Limia,
1425,Meira,Terra De Celanova,A Limia,
1426,Meira,O Ribeiro,A Limia,
1427,Meira,A Paradanta,A Limia,
1428,Meira,Vigo,A Limia,
1429,Meira,O Condado,A Limia,
1430,A Limia,O Condado,Meira,
1431,Meira,O Condado,A Limia,
1432,Meira,O Baixo Miño,A Limia,A Limia
