Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
380,O Baixo Miño,A Ulloa,A Limia,
381,O Baixo Miño,Arzúa,Meira,
382,Meira,Arzúa,O Baixo Miño,
383,A Limia,A Ulloa,O Baixo Miño,
384,Terra De Soneira,Deza,O Baixo Miño,
385,O Salnés,O Carballiño,O Baixo Miño,
386,O Baixo Miño,O Carballiño,O Salnés,
387,Meira,Deza,Terra De Soneira,
388,Terra De Soneira,Deza,Meira,
389,O Salnés,O Carballiño,O Baixo Miño,
390,Terra De Soneira,A Ulloa,A Limia,
391,O Salnés,Deza,Terra De Soneira,
392,Terra De Soneira,Arzúa,Meira,
393,O Salnés,A Ulloa,Terra De Soneira,
394,O Salnés,Arzúa,Terra De Soneira,
395,O Baixo Miño,O Carballiño,O Salnés,
396,Terra De Soneira,Arzúa,O Salnés,
397,A Limia,A Ulloa,O Salnés,
398,Meira,Deza,O Salnés,
399,Terra De Soneira,Deza,Meira,
400,Meira,A Ulloa,A Limia,
401,O Baixo Miño,Deza,Terra De Soneira,
402,Meira,Deza,O Baixo Miño,
403,O Salnés,O Carballiño,O Baixo Miño,
404,O Baixo Miño,O Carballiño,O Salnés,
405,Terra De Soneira,Deza,Meira,
406,Terra De Soneira,O Carballiño,O Baixo Miño,
407,O Baixo Miño,O Carballiño,Terra De Soneira,
408,Meira,A Coruña,Terra De Soneira,
409,Terra De Soneira,A Coruña,Meira,
410,O Salnés,O Carballiño,O Baixo Miño,
411,Terra De Soneira,Barbanza,O Salnés,
412,Meira,A Coruña,Terra De Soneira,
413,O Salnés,Barbanza,Terra De Soneira,
414,A Limia,A Ulloa,Meira,
415,Meira,A Ulloa,A Limia,
416,O Salnés,Deza,Terra De Soneira,
417,Terra De Soneira,A Coruña,Meira,
418,A Limia,A Ulloa,Meira,
419,Meira,A Ulloa,A Limia,
420,Terra De Soneira,Deza,O Salnés,
421,Terra De Soneira,Barbanza,O Salnés,
422,A Limia,A Ulloa,Meira,
423,O Baixo Miño,O Carballiño,O Salnés,
424,A Limia,O Carballiño,O Baixo Miño,
425,O Baixo Miño,O Carballiño,A Limia,
426,O Baixo Miño,Deza,Terra De Soneira,
427,O Salnés,Barbanza,Terra De Soneira,
428,Terra De Soneira,Deza,O Baixo Miño,
429,O Salnés,O Carballiño,O Baixo Miño,
430,A Limia,Deza,Terra De Soneira,
431,O Baixo Miño,O Carballiño,O Salnés,
432,Meira,A Coruña,Terra De Soneira,
433,O Baixo Miño,Deza,A Limia,
434,Meira,Deza,O Baixo Miño,
